Name,Slug,Description
Beach,beach,Tours that involve beach activities
Adventure,adventure,Exciting and thrilling experiences
Wildlife,wildlife,Tours focusing on local wildlife
Cultural,cultural,Tours focusing on culture and history
Family-friendly,family-friendly,Suitable for families with children
Luxury,luxury,Premium tour experiences
Budget,budget,Affordable tour options
Eco-friendly,eco-friendly,Tours with environmental focus
Private,private,Private tour experiences
Group,group,Tours designed for groups
Free Cancellation,free-cancellation,Tours that can be cancelled for free
Special Offer,special-offer,Tours with special pricing or features
Red Sea,red-sea,Tours located in the Red Sea region
Unlimited Reschedule,unlimited-reschedule,Tours that can be rescheduled without limitation
Language: English,language-english,Tours offered in English
Language: Arabic,language-arabic,Tours offered in Arabic 
